酪農,らくのう
彙報,いほう
刹那,せつな
甚大,じんだい
憤り,いきどおり
溺愛,できあい
頻発,ひんぱつ
尚早,しょうそう
肯定,こうてい
雪渓,せっけい
嫡子,ちゃくし
臆面,おくめん
霜害,そうがい
一蹴,いっしゅう
土壌,どじょう
旋回,せんかい
醜悪,しゅうあく
露呈,ろてい
顕著,けんちょ
国璽,こくじ
会釈,えしゃく
土壇場,どたんば
愁嘆場,しゅうたんば
回向,えこう
罷免,ひめん
頒布,はんぷ
脅嚇,きょうかく
蚊柱,かばしら
砕石,さいせき
抄訳,しょうやく
曖昧,あいまい
種苗,しゅびょう
萎縮,いしゅく
思索,しさく
漆,うるし
製靴,せいか
咽喉,いんこう
童歌,わらべうた
稼働,かどう
逓減,ていげん
椅子,いす
誓約書,せいやくしょ
貼用,ちょうよう
紙幣,しへい
危惧,きぐ
競り,せり
怨恨,えんこん
挨拶,あいさつ
宛先,あてさき
産着,うぶぎ
疎遠,そえん
溺死,できし
畏怖,いふ
狂奔,きょうほん
愛猫,あいびょう
鬱屈,うっくつ
戦慄,せんりつ
妖艶,ようえん
旺盛,おうせい
辣腕,らつわん
苛酷,かこく
脇腹,わきばら
諦観,ていかん
進捗,しんちょく
裾,すそ
凄惨,せいさん
蜜月,みつげつ
親戚,しんせき
失踪,しっそう
捕捉,ほそく
唾棄,だき
妬む,ねたむ
瞳孔,どうこう
汎用性,はんようせい
勃発,ぼっぱつ
陶冶,とうや
臆断,おくだん
拉致,らち
横柄,おうへい
瓦解,がかい
出藍,しゅつらん
崖,がけ
明瞭,めいりょう
玩味,がんみ
賄賂,わいろ
愚弄,ぐろう
僅差,きんさ
籠城,ろうじょう
山麓,さんろく
鍵盤,けんばん
怨念,おんねん
顎,あご
虎口,ここう
亀裂,きれつ
脱臼,だっきゅう
嗅覚,きゅうかく
真摯,しんし
餌食,えじき
叱責,しっせき
羨望,せんぼう
砂嵐,すなあらし
畏敬,いけい
語彙,ごい
茨,いばら
均斉,きんせい
鬱結,うっけつ
才媛,さいえん
俺様,おれさま
牙城,がじょう
楷書体,かいしょたい
潰走,かいそう
俳諧,はいかい
蓋然,がいぜん
形骸化,けいがいか
柿,かき
葛藤,かっとう
釜飯,かまめし
毀損,きそん
憧憬,しょうけい（どうけい）
近畿,きんき
鎌,かま
巣窟,そうくつ
詣でる,もうでる
頬桁,ほおげた
歌舞伎,かぶき
間隙,かんげき
禁錮,きんこ
梗概,こうがい
竹串,たけぐし
雑巾,ぞうきん
錦,にしき
寡聞,かぶん
熊,くま
滑稽,こっけい
右舷,うげん
股関節,こかんせつ
勾留,こうりゅう
沙汰,さた
嫉視,しっし
斬新,ざんしん
乞う,こう
叱正,しっせい
鬱乎,うっこ
愛媛,えひめ
頓挫,とんざ
拭浄,しょくじょう
目尻,めじり
喝采,かっさい
頃合い,ころあい
腫瘍,しゅよう
傲岸,ごうがん
駒,こま
血痕,けっこん
脱柵,だっさく
恣意,しい
呪縛,じゅばく
羞悪,しゅうお
必須,ひっす
煎る,いる
詮議,せんぎ
肝腎,かんじん
遡及,そきゅう
未曽有,みぞう
爽やか,さわやか
痩地,そうち
踪跡,そうせき
丼勘定,どんぶりかんじょう
遮蔽,しゃへい
衆寡,しゅうか
八百長,やおちょう
葬る,ほうむる
安寧,あんねい
双璧,そうへき
捻出,ねんしゅつ
奈落,ならく
嘲罵,ちょうば
綻びる,ほころびる
遜色,そんしょく
和睦,わぼく
弥次馬,やじうま
比喩,ひゆ
蜂起,ほうき
粛然,しゅくぜん
傑物,けつぶつ
枝垂れ,しだれ
旨,むね
貪る,むさぼる
配膳,はいぜん
旦夕,たんせき
焼酎,しょうちゅう
斑点,はんてん
匂い,におい
謎めいた,なぞめいた
蔑視,べっし
冥加,みょうが
伴侶,はんりょ
疎い,うとい
剥製,はくせい
訃報,ふほう
薫陶,くんとう
急騰,きゅうとう
瀬戸際,せとぎわ
筒先,つつさき
年端,としは
拝謁,はいえつ
懐柔,かいじゅう
窮状,きゅうじょう
潔く,いさぎよく
好事家,こうずか
絡む,からむ
涙腺,るいせん
堆積,たいせき
懐かしい,なつかしい
霜柱,しもばしら
利益,りやく
礎,いしずえ
但し,ただし
汎説,はんせつ
焦眉,しょうび
変貌,へんぼう
殻,から
競う,きそう
浄瑠璃,じょうるり
乾麺,かんめん
施錠,せじょう
精緻,せいち
充填,じゅうてん
索引,さくいん
虹,にじ
尻餅,しりもち
湧水,ゆうすい
肥沃,ひよく
冷徹,れいてつ
全幅,ぜんぷく
膝,ひざ
頬張る,ほおばる
賭博,とばく
爪先,つまさき
脊椎,せきつい
箸,はし
肘,ひじ
哺乳瓶,ほにゅうびん
夕闇,ゆうやみ
夢枕,ゆめまくら
頂戴,ちょうだい
語呂,ごろ
漠,ばく
捉え方,とらえかた
処方箋,しょほうせん
梨,なし
千羽鶴,せんばづる
盲亀,もうき
喉元,のどもと
呪文,じゅもん
謙遜,けんそん
氾濫,はんらん
妖しい,あやしい
惨禍,さんか
薦めた,すすめた
鬱積,うっせき
寸隙,すんげき
貼る,はる
渇望,かつぼう
眺め,ながめ
苛性,かせい
深更,しんこう
尊崇,そんすう
畏縮,いしゅく
毀棄,きき
命乞い,いのちごい
羞恥,しゅうち
堆肥,たいひ
斑紋,はんもん
沃野,よくや
一矢,いっし
清艶,せいえん
拳銃,けんじゅう
嘲弄,ちょうろう
狭義,きょうぎ
慶事,けいじ
象牙,ぞうげ
虚空,こくう
虐げられている,しいたげられている
茨城,いばらき
臼,うす
傲語,ごうご
払拭,ふっしょく
元旦,がんたん
眉唾物,まゆつばもの
藍染め,あいぞめ
詩吟,しぎん
臆する,おくする
鍵穴,かぎあな
諦視,ていし
稚拙,ちせつ
煮沸,しゃふつ
断崖,だんがい
手綱,たづな
否めない,いなめない
色艶,いろつや
三角巾,さんかくきん
手頃,てごろ
尻拭い,しりぬぐい
破綻,はたん
訃告,ふこく
慄然,りつぜん
富裕,ふゆう
苛辣,からつ
傲然,ごうぜん
補填,ほてん
払暁,ふつぎょう
懇々,こんこん
葛切り,くずきり
渉外,しょうがい
由,よし
旺然,おうぜん
僅少,きんしょう
痕跡,こんせき
凄艶,せいえん
緻密,ちみつ
隠蔽,いんぺい
翻弄,ほんろう
窯元,かまもと
爪牙,そうが
爪痕,つめあと
賭場,とば
担う,になう
開襟,かいきん
愛玩,あいがん
緑青,ろくしょう
醜い,みにくい
苛烈,かれつ
錦衣,きんい
挫折,ざせつ
脊髄,せきずい
貼付,ちょうふ（てんぷ）
完璧,かんぺき
籠絡,ろうらく
地下茎,ちかけい
潰す,つぶす
捻挫,ねんざ
停頓,ていとん
醸す,かもす
遊山,ゆさん
魔窟,まくつ
聴聞,ちょうもん
布施,ふせ
牙,きば
疑惧,ぎぐ
風采,ふうさい
姻戚,いんせき
嘲る,あざける
蔑んだ,さげすんだ
麓,ふもと
会得,えとく
絶崖,ぜつがい
采配,さいはい
罵言,ばげん
端数,はすう
漸進,ぜんしん
造詣,ぞうけい
偽,にせ
宰領,さいりょう
瓦石,がせき
洞窟,どうくつ
塞ぐ,ふさぐ
煎餅,せんべい
椎間板,ついかんばん
養蜂場,ようほうじょう
両脇,りょうわき
比肩,ひけん
骸骨,がいこつ
要塞,ようさい
剥離,はくり
書棚,しょだな
醜聞,しゅうぶん
隙,すき
廃屋,はいおく
陥れる,おとしいれる
潰敗,かいはい
往詣,おうけい
鉄柵,てっさく
羨ましい,うらやましい
爪弾き,つまはじき
美貌,びぼう
閑却,かんきゃく
偏狭,へんきょう
葛根湯,かっこんとう
叱責,しっせき
鏡餅,かがみもち
頻出,ひんしゅつ
亡者,もうじゃ
傲慢,ごうまん
長患い,ながわずらい
平癒,へいゆ
諧和,かいわ
稽古,けいこ
古刹,こさつ
腺毛,せんもう
諦め,あきらめ
親睦,しんぼく
拘泥,こうでい
媒酌,ばいしゃく
玩読,がんどく
凄然,せいぜん
軽蔑,けいべつ
茎,くき
崇高,すうこう
爽涼,そうりょう
据える,すえる
俊才,しゅんさい
崖下,がいか（がけした）
空隙,くうげき
恣行,しこう
