丁寧,ていねい
核心,かくしん
統轄,とうかつ
叙景,じょけい
督促,とくそく
盲従,もうじゅう
網羅,もうら
閑散,かんさん
厄介,やっかい
座禅,ざぜん
暁,あかつき
承り,うけたまわり
騰貴,とうき
吟味,ぎんみ
棚田,たなだ
矢面,やおもて
輪郭,りんかく
潤色,じゅんしょく
下痢,げり
長蛇,ちょうだ
余韻,よいん
実践,じっせん
血眼,ちまなこ
全廃,ぜんぱい
批准,ひじゅん
叔父,おじ
総帥,そうすい
亜流,ありゅう
名残,なごり
駄文,だぶん
麻酔,ますい
謹呈,きんてい
溝,みぞ
偏屈,へんくつ
醜態,しゅうたい
派閥,はばつ
寮母,りょうぼ
搭載,とうさい
定款,ていかん
垣根,かきね
享年,きょうねん
補佐,ほさ
亜鉛,あえん
懇意,こんい
俊足,しゅんそく
窃取,せっしゅ
大枠,おおわく
災禍,さいか
抄本,しょうほん
睡魔,すいま
褒美,ほうび
盆栽,ぼんさい
抹消,まっしょう
愉悦,ゆえつ
迅速,じんそく
詐欺,さぎ
示唆,しさ
報酬,ほうしゅう
禍根,かこん
頑丈,がんじょう
媒介,ばいかい
窮迫,きゅうはく
寡少,かしょう
併読,へいどく
安逸,あんいつ
巧拙,こうせつ
還暦,かんれき
献身,けんしん
捜索,そうさく
相撲,すもう
旋風,せんぷう
弊社,へいしゃ
駆逐,くちく
覇者,はしゃ
羅列,られつ
空疎,くうそ
酷似,こくじ
自粛,じしゅく
干渉,かんしょう
壮健,そうけん
手綱,たづな
割愛,かつあい
自叙伝,じじょでん
感銘,かんめい
挟まって,はさまって
人垣,ひとがき
鳥肌,とりはだ
徹底,てってい
機嫌,きげん
荒涼,こうりょう
苦渋,くじゅう
克己心,こっきしん
挑戦,ちょうせん
野暮,やぼ
剛直,ごうちょく
貝塚,かいづか
閑職,かんしょく
最寄,もよ
戻り,もどり
砕いて,くだいて
据わって,すわって
唇,くちびる
解剖,かいぼう
誓う,ちかう
更迭,こうてつ
眺望,ちょうぼう
拡充,かくじゅう
治癒,ちゆ
拒む,こばむ
扉,とびら
償却,しょうきゃく
惰眠,だみん
融資,ゆうし
挿し,さし
真偽,しんぎ
遺憾,いかん
包括,ほうかつ
中庸,ちゅうよう
名残,なごり
顕著,けんちょ
竜巻,たつまき
均衡,きんこう
憂愁,ゆうしゅう
廃刊,はいかん
洗浄,せんじょう
収賄,しゅうわい
濃厚,のうこう
岬,みさき
雑菌,ざっきん
忍び,しのび
飢えて,うえて
賜る,たまわる
被る,こうむる
棟上げ,むねあげ
稼ぐ,かせぐ
且つ,かつ
費やした,ついやした
弔い,とむらい
筒抜け,つつぬけ
洪水,こうずい
推奨,すいしょう
木琴,もっきん
江戸,えど
崇拝,すうはい
尚早,しょうそう
渇望,かつぼう
触媒,しょくばい
書斎,しょさい
王侯,おうこう
謹んで,つつしんで
矯正,きょうせい
懸命,けんめい
過剰,かじょう
滋養,じよう
婚姻,こんいん
妊娠,にんしん
歯茎,はぐき
貢献,こうけん
模擬,もぎ
囲碁,いご
殉職,じゅんしょく
干潟,ひがた
露呈,ろてい
選択肢,せんたくし
襟元,えりもと
蚊,か
戦禍,せんか
豪傑,ごうけつ
儒教,じゅきょう
表彰,ひょうしょう
昆虫,こんちゅう
謙虚,けんきょ
酢酸,さくさん
甚だしい,はなはだしい
管弦,かんげん
懐かしい,なつかしい
戸棚,とだな
詔書,しょうしょ
威嚇,いかく
糾弾,きゅうだん
吟醸,ぎんじょう
患者,かんじゃ
貝殻,かいがら
隅々,すみずみ
訴訟,そしょう
虞,おそれ
閑古鳥,かんこどり
桟橋,さんばし
急逝,きゅうせい
欠陥,けっかん
寛大,かんだい
肖像画,しょうぞうが
刃物,はもの
塾,じゅく
若干,じゃっかん
併用,へいよう
褐色,かっしょく
宵の口,よいのくち
慶賀,けいが
納棺,のうかん
浦,うら
宰相,さいしょう
恐喝,きょうかつ
発祥,はっしょう
山肌,やまはだ
薫製,くんせい
勲章,くんしょう
畝,うね
循環,じゅんかん
真珠,しんじゅ
凹凸,おうとつ
天涯,てんがい
継嗣,けいし
便宜,べんぎ
謁見,えっけん
硝煙,しょうえん
拷問,ごうもん
約款,やっかん
化粧,けしょう
渓谷,けいこく
犬猿,けんえん
苦汁,くじゅう
平衡,へいこう
大尉,たいい
緒戦,しょせん
疫病,えきびょう
囚人,しゅうじん
缶詰,かんづめ
老翁,ろうおう
恭順,きょうじゅん
誘拐,ゆうかい
呉服,ごふく
玉璽,ぎょくじ
蛍光灯,けいこうとう
土壌,どじょう
庶民,しょみん
愉快,ゆかい
淑女,しゅくじょ
弾劾,だんがい
秩序,ちつじょ
悠長,ゆうちょう
浴槽,よくそう
仙人,せんにん
雰囲気,ふんいき
唯一,ゆいいつ
鉢巻,はちまき
妥協,だきょう
主賓,しゅひん
語弊,ごへい
尼寺,あまでら
硫酸,りゅうさん
懇談,こんだん
栽培,さいばい
勅命,ちょくめい
教諭,きょうゆ
繊細,せんさい
嫌気,いやけ
静粛,せいしゅく
津波,つなみ
繭,まゆ
撤退,てったい
献血,けんけつ
画伯,がはく
嫡子,ちゃくし
柔軟,じゅうなん
管轄,かんかつ
板塀,いたべい
駄弁,だべん
披露,ひろう
船舶,せんぱく
自浄,じじょう
捜索,そうさく
海藻,かいそう
愚痴,ぐち
出廷,しゅってい
虚偽,きょぎ
貞淑,ていしゅく
豪邸,ごうてい
抗菌,こうきん
追悼,ついとう
盗塁,とうるい
偏った,かたよった
妄想,もうそう
症状,しょうじょう
紙幣,しへい
頻発,ひんぱつ
同僚,どうりょう
一泡,ひとあわ
麻,あさ
磨く,みがく
摩擦,まさつ
亭主,ていしゅ
塑像,そぞう
模索,もさく
猫舌,ねこじた
顕在,けんざい
年俸,ねんぽう
捕虜,ほりょ
首肯,しゅこう
外堀,そとぼり
褒めて,ほめて
予鈴,よれい
罷業,ひぎょう
花瓶,かびん
自堕落,じだらく
融合,ゆうごう
裕福,ゆうふく
但し,ただし
盲導犬,もうどうけん
猶予,ゆうよ
挑発,ちょうはつ
酪農家,らくのうか
山荘,さんそう
変遷,へんせん
洞くつ,どうくつ
誓約書,せいやくしょ
探偵,たんてい
泥沼,どろぬま
一升瓶,いっしょうびん
奔放,ほんぽう
