介護,かいご
派遣,はけん
兼務,けんむ
処分,しょぶん
互角,ごかく
逃避,とうひ
沖,おき
欄干,らんかん
天賦,てんぷ
木陰,こかげ
専攻,せんこう
依然,いぜん
偉容,いよう
鈍感,どんかん
監視,かんし
闘志,とうし
投影,とうえい
荒天,こうてん
小豆,あずき
歳入,さいにゅう
土産,みやげ
甘言,かんげん
日和,ひより
素足,すあし
比較,ひかく
転倒,てんとう
奇抜,きばつ
紹介,しょうかい
戯曲,ぎきょく
証拠,しょうこ
接触,せっしょく
芝生,しばふ
精進,しょうじん
背丈,せたけ
海原,うなばら
門出,かどで
距離,きょり
制御,せいぎょ
噴出,ふんしゅつ
仕業,しわざ
出陣,しゅつじん
新鮮,しんせん
就寝,しゅうしん
脱衣,だつい
侵入,しんにゅう
鈍角,どんかく
範囲,はんい
匹敵,ひってき
回避,かいひ
地盤,じばん
到達,とうたつ
被害,ひがい
繁栄,はんえい
幅員,ふくいん
隣人,りんじん
感涙,かんるい
依頼,いらい
麗筆,れいひつ
分離,ぶんり
腐心,ふしん
海浜,かいひん
鋭利,えいり
浮沈,ふちん
抜群,ばつぐん
拍車,はくしゃ
贈答,ぞうとう
唐突,とうとつ
添付,てんぷ
詳細,しょうさい
服飾,ふくしょく
軽薄,けいはく
筆致,ひっち
波紋,はもん
突堤,とってい
信頼,しんらい
扱い,あつかい
罰金,ばっきん
搬入,はんにゅう
避難,ひなん
婚礼,こんれい
弾圧,だんあつ
遅い,おそい
盆景,ぼんけい
焼却,しょうきゃく
透写,とうしゃ
称賛,しょうさん
名刺,めいし
熱狂的,ねっきょうてき
陣営,じんえい
澄明,ちょうめい
握手,あくしゅ
扱う,あつかう
依存,いぞん
猛威,もうい
作為,さくい
偉い,えらい
間違える,まちがえる
維持,いじ
緯度,いど
芋,いも
陰影,いんえい
隠居,いんきょ
影響,えいきょう
鋭い,するどい
越境,えっきょう
声援,せいえん
煙突,えんとつ
鉛筆,えんぴつ
縁起,えんぎ
汚濁,おだく
奥,おく
追憶,ついおく
菓子,かし
寸暇,すんか
箇所,かしょ
優雅,ゆうが
介入,かいにゅう
戒め,いましめ
握力,あくりょく
皆勤,かいきん
壊れた,こわれた
捕獲,ほかく
刈る,かる
甘美,かんび
汗,あせ
乾燥,かんそう
勧告,かんこく
歓喜,かんき
監禁,かんきん
環境,かんきょう
鑑定,かんてい
含蓄,がんちく
珍奇,ちんき
祈る,いのる
鬼,おに
退却,たいきゃく
幾分,いくぶん
輝く,かがやく
難儀,なんぎ
遊戯,ゆうぎ
普及,ふきゅう
朽ちて,くちて
巨漢,きょかん
根拠,こんきょ
測距,そくきょ
防御,ぼうぎょ
凶作,きょうさく
叫ぶ,さけぶ
狂言,きょうげん
実況,じっきょう
狭い,せまい
恐怖,きょうふ
音響,おんきょう
驚嘆,きょうたん
信仰,しんこう
駆け,かけ
屈指,くっし
盗掘,とうくつ
繰り,くり
恩恵,おんけい
傾向,けいこう
継続,けいぞく
迎合,げいごう
襲撃,しゅうげき
肩,かた
兼任,けんにん
真剣,しんけん
軒並み,のきなみ
圏内,けんない
堅固,けんご
遣わす,つかわす
玄関,げんかん
栄枯,えいこ
誇示,こじ
太鼓,たいこ
交互,こうご
対抗,たいこう
攻防,こうぼう
更新,こうしん
恒常,こうじょう
荒野,こうや
香料,こうりょう
要項,ようこう
原稿,げんこう
豪快,ごうかい
見込み,みこみ
求婚,きゅうこん
連鎖,れんさ
異彩,いさい
歳月,さいげつ
載せる,のせる
薬剤師,やくざいし
遅咲き,おそざき
惨状,さんじょう
趣旨,しゅし
伺い,うかがい
刺激,しげき
脂汗,あぶらあせ
紫,むらさき
雌,めす
執る,とる
芝居,しばい
斜陽,しゃよう
雑煮,ぞうに
注釈,ちゅうしゃく
静寂,せいじゃく
朱肉,しゅにく
狩り,かり
情趣,じょうしゅ
内需,ないじゅ
舟,ふね
優秀,ゆうしゅう
襲来,しゅうらい
柔道,じゅうどう
珍獣,ちんじゅう
瞬間,しゅんかん
上旬,じょうじゅん
巡回,じゅんかい
盾,たて
召し,めし
病床,びょうしょう
沼,ぬま
対称,たいしょう
未詳,みしょう
大丈夫,だいじょうぶ
畳,たたみ
殖える,ふえる
装飾,そうしょく
抵触,ていしょく
侵攻,しんこう
振興,しんこう
浸入,しんにゅう
寝食,しんしょく
無尽蔵,むじんぞう
震動,しんどう
薪,たきぎ
慎重,しんちょう
陣頭,じんとう
尋常,じんじょう
吹く,ふく
是認,ぜにん
天井,てんじょう
旧姓,きゅうせい
遠征,えんせい
跡形,あとかた
独占,どくせん
舞扇,まいおうぎ
鮮明,せんめい
訴える,うったえる
僧門,そうもん
物騒,ぶっそう
贈与,ぞうよ
即答,そくとう
俗悪,ぞくあく
耐久,たいきゅう
代替,だいたい
光沢,こうたく
開拓,かいたく
濁流,だくりゅう
脱帽,だつぼう
丹念,たんねん
淡白,たんぱく
嘆息,たんそく
道端,みちばた
